Year,Region,Stage,Technology,Cost
2074,OCE,mine,clay,14.3485444
2075,OCE,mine,clay,13.66528038
2076,OCE,mine,clay,13.01455274
2077,OCE,mine,clay,12.39481214
2078,OCE,mine,clay,11.80458299
2079,OCE,mine,clay,11.24245999
2080,OCE,mine,clay,10.70710475
2081,OCE,mine,clay,10.19724262
2082,OCE,mine,clay,9.711659637
2083,OCE,mine,clay,9.249199654
2084,OCE,mine,clay,8.808761575
2085,OCE,mine,clay,8.389296738
2086,OCE,mine,clay,7.989806417
2087,OCE,mine,clay,7.609339445
2088,OCE,mine,clay,7.246989948
2089,OCE,mine,clay,6.901895188
2090,OCE,mine,clay,6.573233513
2091,OCE,mine,clay,6.260222393
2092,OCE,mine,clay,5.962116565
2093,OCE,mine,clay,5.678206252
2094,OCE,mine,clay,5.407815478
2095,OCE,mine,clay,5.150300455
2096,OCE,mine,clay,4.905048053
2097,OCE,mine,clay,4.671474336
2098,OCE,mine,clay,4.449023177
2099,OCE,mine,clay,4.237164931
2100,OCE,mine,clay,4.035395172
