Year,Stage,Technology,CO2
2080,mine,clay,2.428381407477544
2081,mine,brine,2.404097593402769
2081,mine,spod,2.404097593402769
2081,mine,clay,2.404097593402769
2082,mine,brine,2.380056617468741
2082,mine,spod,2.380056617468741
2082,mine,clay,2.380056617468741
2083,mine,brine,2.3562560512940536
2083,mine,spod,2.3562560512940536
2083,mine,clay,2.3562560512940536
2084,mine,brine,2.3326934907811125
2084,mine,spod,2.3326934907811125
2084,mine,clay,2.3326934907811125
2085,mine,brine,2.3093665558733023
2085,mine,spod,2.3093665558733023
2085,mine,clay,2.3093665558733023
2086,mine,brine,2.286272890314569
2086,mine,spod,2.286272890314569
2086,mine,clay,2.286272890314569
2087,mine,brine,2.263410161411423
2087,mine,spod,2.263410161411423
2087,mine,clay,2.263410161411423
2088,mine,brine,2.2407760597973088
2088,mine,spod,2.2407760597973088
2088,mine,clay,2.2407760597973088
2089,mine,brine,2.218368299199336
2089,mine,spod,2.218368299199336
2089,mine,clay,2.218368299199336
2090,mine,brine,2.196184616207342
2090,mine,spod,2.196184616207342
2090,mine,clay,2.196184616207342
2091,mine,brine,2.1742227700452688
2091,mine,spod,2.1742227700452688
2091,mine,clay,2.1742227700452688
2092,mine,brine,2.152480542344816
2092,mine,spod,2.152480542344816
2092,mine,clay,2.152480542344816
2093,mine,brine,2.1309557369213676
2093,mine,spod,2.1309557369213676
2093,mine,clay,2.1309557369213676
2094,mine,brine,2.109646179552154
2094,mine,spod,2.109646179552154
2094,mine,clay,2.109646179552154
2095,mine,brine,2.0885497177566323
2095,mine,spod,2.0885497177566323
2095,mine,clay,2.0885497177566323
2096,mine,brine,2.067664220579066
2096,mine,spod,2.067664220579066
2096,mine,clay,2.067664220579066
2097,mine,brine,2.0469875783732756
2097,mine,spod,2.0469875783732756
2097,mine,clay,2.0469875783732756
2098,mine,brine,2.0265177025895427
2098,mine,spod,2.0265177025895427
2098,mine,clay,2.0265177025895427
2099,mine,brine,2.006252525563647
2099,mine,spod,2.006252525563647
2099,mine,clay,2.006252525563647
2100,mine,brine,1.9861900003080104
2100,mine,spod,1.9861900003080104
2100,mine,clay,1.9861900003080104
