Year,Stage,Technology,Demand
2026,pack,bev_lfp,4.63247478
2027,pack,bev_lfp,5.118407823
2028,pack,bev_lfp,5.648754061
2029,pack,bev_lfp,6.226347244
2030,pack,bev_lfp,6.655278022
2031,pack,bev_lfp,7.244223808
2032,pack,bev_lfp,7.873676938
2033,pack,bev_lfp,8.544541633
2034,pack,bev_lfp,9.257444087
2035,pack,bev_lfp,10.01269435
2036,pack,bev_lfp,10.81025154
2037,pack,bev_lfp,11.64969397
2038,pack,bev_lfp,12.53019607
2039,pack,bev_lfp,13.45051351
2040,pack,bev_lfp,14.1404162
2041,pack,bev_lfp,15.11640511
2042,pack,bev_lfp,16.12534167
2043,pack,bev_lfp,17.16441952
2044,pack,bev_lfp,18.23050619
2045,pack,bev_lfp,19.32019225
2046,pack,bev_lfp,20.42984898
2047,pack,bev_lfp,21.55569244
2048,pack,bev_lfp,22.69385167
2049,pack,bev_lfp,23.84043841
2050,pack,bev_lfp,24.99161585
2051,pack,bev_lfp,26.14366375
2052,pack,bev_lfp,27.293038
2053,pack,bev_lfp,28.43642255
2054,pack,bev_lfp,29.57077252
2055,pack,bev_lfp,30.69334768
2056,pack,bev_lfp,31.80173587
2057,pack,bev_lfp,32.89386666
2058,pack,bev_lfp,33.96801572
2059,pack,bev_lfp,35.02280083
2060,pack,bev_lfp,36.05717077
2061,pack,bev_lfp,37.07038806
2062,pack,bev_lfp,38.06200729
2063,pack,bev_lfp,39.03184989
2064,pack,bev_lfp,39.9799769
2065,pack,bev_lfp,40.90666063
2066,pack,bev_lfp,41.81235617
2067,pack,bev_lfp,42.69767362
2068,pack,bev_lfp,43.56335147
2069,pack,bev_lfp,44.41023177
2070,pack,bev_lfp,45.23923722
2071,pack,bev_lfp,46.05135053
2072,pack,bev_lfp,46.84759601
2073,pack,bev_lfp,47.62902341
2074,pack,bev_lfp,48.39669401
2075,pack,bev_lfp,49.15166877
2076,pack,bev_lfp,49.89499842
2077,pack,bev_lfp,50.62771535
2078,pack,bev_lfp,51.35082704
2079,pack,bev_lfp,52.06531101
2080,pack,bev_lfp,52.77211089
2081,pack,bev_lfp,53.47213368
2082,pack,bev_lfp,54.16624783
2083,pack,bev_lfp,54.85528219
2084,pack,bev_lfp,55.54002554
2085,pack,bev_lfp,56.22122668
2086,pack,bev_lfp,56.89959497
2087,pack,bev_lfp,57.57580118
2088,pack,bev_lfp,58.25047863
2089,pack,bev_lfp,58.9242245
2090,pack,bev_lfp,59.59760136
2091,pack,bev_lfp,60.27113869
2092,pack,bev_lfp,60.94533456
2093,pack,bev_lfp,61.62065729
2094,pack,bev_lfp,62.29754715
2095,pack,bev_lfp,62.97641797
2096,pack,bev_lfp,63.65765881
2097,pack,bev_lfp,64.34163551
2098,pack,bev_lfp,65.02869226
2099,pack,bev_lfp,65.71915304
2100,pack,bev_lfp,66.41332302
2020,pack,phev_lfp,0.29205
2021,pack,phev_lfp,0.589338
2022,pack,phev_lfp,0.852444
2023,pack,phev_lfp,1.273850415
2024,pack,phev_lfp,1.55396477
2025,pack,phev_lfp,1.77157654
2026,pack,phev_lfp,1.944785578
2027,pack,phev_lfp,2.130441002
2028,pack,phev_lfp,2.328706908
2029,pack,phev_lfp,2.539638832
2030,pack,phev_lfp,2.683067533
2031,pack,phev_lfp,2.883634293
2032,pack,phev_lfp,3.091544263
2033,pack,phev_lfp,3.306116652
2034,pack,phev_lfp,3.526583976
2035,pack,phev_lfp,3.752105879
2036,pack,phev_lfp,3.981785561
2037,pack,phev_lfp,4.214688168
2038,pack,phev_lfp,4.449860346
2039,pack,phev_lfp,4.686350116
2040,pack,phev_lfp,4.831464607
2041,pack,phev_lfp,5.063428908
2042,pack,phev_lfp,5.294074209
2043,pack,phev_lfp,5.522645167
2044,pack,phev_lfp,5.748463648
2045,pack,phev_lfp,5.970936054
2046,pack,phev_lfp,6.18955764
2047,pack,phev_lfp,6.403913989
2048,pack,phev_lfp,6.613679924
2049,pack,phev_lfp,6.818616225
2050,pack,phev_lfp,7.018564566
2051,pack,phev_lfp,7.213441109
2052,pack,phev_lfp,7.403229163
2053,pack,phev_lfp,7.587971316
2054,pack,phev_lfp,7.767761359
2055,pack,phev_lfp,7.942736303
2056,pack,phev_lfp,8.113068701
2057,pack,phev_lfp,8.278959454
2058,pack,phev_lfp,8.440631209
2059,pack,phev_lfp,8.598322421
2060,pack,phev_lfp,11.16418378
2061,pack,phev_lfp,10.62318003
2062,pack,phev_lfp,10.10849648
2063,pack,phev_lfp,9.620358921
2064,pack,phev_lfp,9.158753998
2065,pack,phev_lfp,8.723457581
2066,pack,phev_lfp,8.314063219
2067,pack,phev_lfp,7.930009963
2068,pack,phev_lfp,7.570608946
2069,pack,phev_lfp,7.235068254
2070,pack,phev_lfp,6.922515804
2071,pack,phev_lfp,6.63202002
2072,pack,phev_lfp,6.362608246
2073,pack,phev_lfp,6.113282889
2074,pack,phev_lfp,5.883035351
2075,pack,phev_lfp,5.670857886
2076,pack,phev_lfp,5.475753502
2077,pack,phev_lfp,5.296744098
2078,pack,phev_lfp,5.132876998
2079,pack,phev_lfp,4.98323007
2080,pack,phev_lfp,4.846915596
2081,pack,phev_lfp,4.723083074
2082,pack,phev_lfp,4.610921091
2083,pack,phev_lfp,4.509658422
2084,pack,phev_lfp,4.418564482
2085,pack,phev_lfp,4.336949241
2086,pack,phev_lfp,4.264162708
2087,pack,phev_lfp,4.199594072
2088,pack,phev_lfp,4.142670578
2089,pack,phev_lfp,4.092856194
2090,pack,phev_lfp,4.049650146
2091,pack,phev_lfp,4.012585334
2092,pack,phev_lfp,3.981226704
2093,pack,phev_lfp,3.955169579
2094,pack,phev_lfp,3.934037989
2095,pack,phev_lfp,3.917483022
2096,pack,phev_lfp,3.905181197
2097,pack,phev_lfp,3.896832893
2098,pack,phev_lfp,3.892160824
2099,pack,phev_lfp,3.890908577
2100,pack,phev_lfp,3.892839217
